Unique ID,Name,Title,Company,Description,Tag,TagQID,FacetOf,FacetOfQID,Slides URL,Video URL
,Abhishek Mittal,Re-Imagining Regulatory Obligation Management,Wolters Kluwer (GRC Division),"As part of this presentation, attendees will learn about the following: Content Enrichment: Development and deployment of a 5-stage taxonomy. Applying the taxonomy to tag regulations and classify them for improved discovery & work assignment. Smart Authoring: Leveraging advanced NLP and ML techniques to learn from the past content authoring for identification of key requirements and faster & complete authoring. Obligation Graph: Finally linking regulatory obligations to products, process, functional area, topics and raw citation text. This enables end-end audit trail and linkage of policies to regulatory requirements enabling financial institutions to meet their regulatory compliance","regulation, natural language processing, tagging, obligations, taxonomy, smart authoring, content enrichment, policy",Q428148,,,Re-Imagining Regulatory Obligation Management | Zenodo,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/abhishek-mittal-re-imagining-regulatory-obligation-management
,Alan Morrison,Paths to More Personal and Collaborative Knowledge Graphs,,"How can linked data architectures, knowledge graphs and personal data protection methods such as SOLID become easier to use so that everyday people can take advantage of them?","Linked Data Architecture, Personal Data Protection Methods, SOLID",,,,Could not find slides Paths to More Personal and Collaborative Knowledge Graphs,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-4th-t4-paths-to-more-personal-and-collaborative-knowledge-graphs-562bc250-ab6a-43f2-96fe-3ed13a0c22fd
,Alastair Green,,Linked Data Benchmark Council,,,,,,No presentation or video,
,Albert-Laszlo Barabasi,From Network Medicine to Food and Knowledge Graphs,Northeastern University,"Our understanding of how diet affects our health is limited to the role of 150 key nutritional components systematically tracked by the USDA and other national databases in all foods. Yet, these nutritional components represent only a tiny fraction of the over 26,000 distinct, definable biochemicals present in our food. While many of these biochemicals have documented effects on health, they remain unquantified in any systematic fashion across different individual foods. Their invisibility to experimental, clinical, and epidemiological studies defines them as the ‘Dark Matter of Nutrition.’ I will speak about our efforts to develop a high-resolution library of this nutritional dark matter, and the tole of network medicine and knowledge graphs in our journey to uncover the role of individual food molecules in our health, opening up novel avenues by which to understand, avoid, and control disease.",,,,,No presentation slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-6th-from-network-medicine-to-food-and-knowledge-graphs-70caf844-3bda-4bf5-b405-5ff27f179109
,Alena Vasilevich,Benefits of Collaborative AI vs. Manual Creation of the Graph: Taxonomization of IATE - the EU Terminology,Coreon GmbH,"In the realm of data-driven businesses, structured data, being highly organized and easily understood by machines, is a valuable resource. IATE, with almost one million concepts storing multilingual terms and metadata, holds a large part of the textual knowledge of the EU. However, it can only be accessed lexically, and the database concepts stand-alone. If IATE were taxonomized, i.e. related concepts linked up into knowledge graphs yielding a full-fledged ontology, its data could not only be consumed by linguists but would also become accessible by the machine-readable SPARQL endpoint, which makes it a powerful resource for AI projects, particularly within SMEs that rarely have the means to create multilingual formalized knowledge. Coreon team elevated a sub-domain of IATE terminology into a multilingual knowledge graph. We taxonomized a flat list of 425 concepts within the COVID sub-domain, benchmarking two approaches to tackle this task: automatically through a custom-enhanced off-the-shelf language model and a manual creation of the knowledge graph by a linguist expert. The automatically created knowledge graph was later revised by a human, corrections and time effort measured and compared with performance metrics of the manual approach. In this talk, we will dwell on the performance and resource-saving advantages of our custom method and show how the achieved productivity rate can make the taxonomization of even large terminology databases economically viable. We demonstrate empirically the effectiveness of our collaborative-robot approach in a typical industry use case scenario: using the resulting IATE/Covid graph for initialization of a Convolutional Neural Network (CNN) in a multilingual document classification task, we get a classification granularity that is not reachable by state-of-the-art models, such as non-initialized CNNs and zero-shot classifiers.",,,,,https://zenodo.org/record/4876651#.YOoNMjOSlhE,https://knowledgegraphconference.vhx.tv/videos/alena-vasilevich-benefits-of-collaborative-ai-vs-manual-creation
,Alex Kalinowski,Structured to Unstructured and Back: Integrated Knowledge Graphs and Natural Language Processing Techniques,Northeastern University,"It is a difficult task for traditional pattern-based matching or machine learning approaches to identify entities and the relationships they share. These techniques rapidly overfit training datasets and struggle to transfer to other contexts or domains. One solution to the lack of transferability includes the utilization of outside knowledge, such as facts contained in a knowledge base or ontology. However, integrating unstructured data such as language models with highly structured data such as knowledge bases is a challenging research problem. Using concepts from distant supervision, word vectors, and knowledge graph embeddings, an elegant unsupervised learning approach will be presented for solving this knowledge integration problem. This talk illustrates the problem from two points-of-view: the natural language processing practitioner unaccustomed to semantics and knowledge bases, and the semantic web developer without a background in deep learning and language models.","Pattern-based Matching, ML, Entities, Relationships, Training Datasets, Knowldegebase, Ontology, Word Vectors, Knowledge Integration, NLP",,,,https://zenodo.org/record/4876638,https://knowledgegraphconference.vhx.tv/packages/kgc-21-attendees/videos/alex-kalinowski-structured-to-unstructured-back
,Alfio Gliozzo,Second Workshop on Personal Health Knowledge Graphs,,,,,,,No presentation slides,https://knowledgegraphconference.vhx.tv/packages/kgc-21-attendees/videos/d2-v17-chin-hua-chen
,Alison Goodrum,Knowledge Graphs for Social Good,,,,,,,No presentation slides,Knowledge Graphs for Social Good - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Amar Das,Second Workshop on Personal Health Knowledge Graphs,,"Electronic health records (EHRs) have become a popular source of observational health data for learning insights that could inform the treatment of acute medical conditions. However, their utility for learning insights for informing preventive care and management of chronic conditions has remained limited. For this reason, the addition of social determinants of health (SDoH) [1] and “observations of daily living” (ODL) [2] to the EHR have been proposed. This combination of medical, social, behavioral, and lifestyle information about the patient is essential for allowing medical events to be understood in the context of one’s life and, conversely, allowing lifestyle choices to be considered jointly with one’s medical context. We propose that the personal health knowledge graph is a semantic representation of a patient’s combined medical records, SDoH, and ODLs that would be generated by both patients and their providers and be potentially useful to both for decision-making. While there are some initial efforts to clarify what personal knowledge graphs are [3] and how they may be made specific to health [4, 5], there is still much to be determined concerning how to operationalize and apply such a knowledge graph in life and clinical practice. There are challenges in collecting, managing, integrating, and analyzing the data required to populate the knowledge graph, maintaining, reasoning over, and sharing aspects of the knowledge graph. Following on the success of our inaugural workshop held at the Knowledge Graph Conference in 2020, in the second installment of this workshop, we aim to gather multiple stakeholders (health practitioners, health informaticists, knowledge engineers, and computer scientists) working on defining, building, consuming, and integrating personal health knowledge graphs. The workshop will focus on the challenges and opportunities in this nascent space with a strong focus on existing PHKG solutions.","Electronic Health Records, Social Determinants of Health, Observations of Daily Living, Personal Health Knowledge Graph, Data Integration, Data Profiling, Data Curation, Querying, Knowledge Discovery, Ontology Mapping, Machine Learning",,,,No presentation slides,Workshop Summary | The Personal Health Knowledge Graph - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,,,,,,,,,,
,Amgad Madkour,Entity Life Cycle in Search-Centric Knowledge Graphs,Microsoft,"Entity-based results are becoming an integral part of the search experience. Search-centric companies highly rely on knowledge graphs in providing the necessary information for building rich search experiences. An entity can originate from a structured, semi-structured, or unstructured data source. An entity passes through a series of stages to be onboarded into a knowledge graph and then served as part of a search result. This talk presents the life cycle of an entity including extraction, schema mapping, ingestion, entity resolution, data quality, and publishing. It covers the challenges and approaches employed at each stage. It also introduces some of the different experiences that can be generated for a given entity. Finally, it covers the multilingual aspect of knowledge graphs and the challenges of maintaining them at scale.","Entity Life Cycle, Search Centric, Knowledge Graphs, Extraction, Schema Mapping,  Entity Resolution, Data Quality, ",,,,https://zenodo.org/record/4876658#.YOoVDDOSlhE,https://knowledgegraphconference.vhx.tv/videos/amgad-madkour-entity-life-cycle-in-search-centric-knowledge-graphs
,Amit Sheth,Workshop on Knowledge-infused Learning,,"Research in artificial intelligence and data science is accelerating rapidly due to an unprecedented explosion in the amount of information on the web [1,2]. In parallel, we noticed immense growth in research around Knowledge Graphs from industry and academia. Most focus of Knowledge Graphs has been on its construction, however, harnessing knowledge graphs/symbolic knowledge for end tasks is yet to be well explored. Particularly, integrating information from knowledge graphs with learning techniques for solving tasks. We call this “knowledge-infused learning” (KiL), an approach to encode knowledge for using it with deep learning. Knowledge Graphs are important in its use for neuro-symbolic AI [3,5,8]. In this changing world, retrospective studies for building state-of-the-art AI and Data science systems have raised concerns on trust, traceability, and interactivity for prospective applications in healthcare, finance, and crisis response [1,4].","AI, Data Science, Knowledge Infused Learning, Deep Learning, Neuro-Symbolic AI, Probabilistic Learning, Natural Language Processing, Reinforcement Learning, Virtual Assistants, Human-Computer Interaction, Commonsense Reasoning",,,,No presentation slides,Workshop | Knowledge Infused Learning - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Anastasia Dimou,,IMEC,,,,,,No presentation slides,No video
,Andreas Blumauer,The Semantic Content Hub: Transforming data hurdles into comprehensive knowledge discovery,Semantic Web Company/ PoolParty,"Ambiguity, language discrepancies, and lack of background information are just a few challenges that organizations face on a daily basis when trying to analyze their content and data. When an organization produces data that is hard to manage, what methodologies can be used to turn unstructured (i.e., noisy, cluttered, unclear) content into clean, fruitful knowledge? In this webinar, CEO Andreas Blumauer will talk about the different semantic tools you can have under your belt to manage your unstructured data and reap the benefits of a comprehensive knowledge graph. Learn how intelligent content that is generated with help from semantic technologies can improve customer satisfaction, enable better business decision making, and grant extensive knowledge discovery. Through introductory material and live demos, we will introduce you to semantic search and recommendation tools to “matchmake” internal HR profiles and connect employees together based on their skills and interests. You will become familiar with question and answering machines that can be used to generate structured search results from organic text, and how entity extraction can enable you to derive meaningful concepts from text analysis. Don’t miss this opportunity to hear from an experienced semantic technology expert about how you can overcome the common roadblocks found in your unstructured data.","Ambiguity, Analyze Content, Methodologies, Unstructured Content,  Semantic Tools, KG, Recommendation, Q&A, Entity Extraction, Text Analysis, ",,,,No presentation slides,Andreas Blumauer | The Semantic Content Hub: Transforming Data Hurdles - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Andrej Verity,Knowledge Graphs for Social Good,,,,,,,No presentation slides,Knowledge Graphs for Social Good - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
