Unique ID,TalkID,Name,personQID,countryOfCitizenship,countryOfCitizenshipQID,educatedAt,educatedAtQID,personFieldOfWork,personFieldOfWorkQID,Company,companyQID,member of,memberOfQID,instance of,instanceOfQID,industry,industryQID,companyFieldOfWork,companyFieldOfWorkQID,Address,AddressQID,City,CityQID,County,CountyQID,State,StateQID,Country,CountryQID,Title,LinkedIn,Final Bios
,,Abhishek Mittal,,,,,,,,Wolters Kluwer (GRC Division),Q249798,,,medium size publisher,Q19720190,publishing,Q3972943,,,Assago,Q42991,Metropolitan City of Milan,Q18288155,province of Milan,Q15121,Lombardy,Q1210,Italy,Q38,,,
,,,,,,,,,,,,,,book publisher,Q1320047,,,,,,,,,,,,,,,,,
,,Alan Morrison,Q57465740,,,,,,,,,,,open-access publisher,Q45400320,,,,,,,Alphen aan den Rijn,Q213246,,,South Holland,Q694,Netherlands,Q55,,,
,,,,,,,,,,,,,,public company,Q891723,,,,,,,,,,,,,,,,,
,,Alastair Green,Q60677421,,,,,,,Linked Data Benchmark Council,Q104438322,,,research project,Q1298668,,,Semantic Web,Q54837,,,,,,,,,,,,,
,,Albert-Laszlo Barabasi,Q725467,Hungary,Q28,University of Bucharest,Q608338,network theory,Q1192971,Northeastern University,Q37548,Digital Library Federation,Q5275906,university,Q3918,,,,,,,Boston,Q100,Suffolk County,Q54072,Massachusetts,Q771,United States of America,Q30,,,
,,,,Romania,Q218,Boston University,Q49110,,,,,Scholarly Publishing and Academic Resources Coalition,Q647039,private not-for-profit educational institution,Q23002054,,,,,,,,,,,,,,,,,
,,,,United States of America,Q30,Eötvös Loránd University,Q390287,,,,,Center for Research Libraries,Q5059850,,,,,,,,,,,,,,,,,,,
,,Alena Vasilevich,Q13028263,,,Philological faculty of BSU,Q4484261,,,Coreon GmbH,,Coalition for Networked Information,Q5137944,,,,,,,,,,,,,,,,,,,
,,Alex Kalinowski,,,,,,,,Northeastern University,Q37548,Digital Library Federation,Q5275906,university,Q3918,,,,,,,Boston,Q100,Suffolk County,Q54072,Massachusetts,Q771,United States of America,Q30,,,
,,,,,,,,,,,,Scholarly Publishing and Academic Resources Coalition,Q647039,private not-for-profit educational institution,Q23002054,,,,,,,,,,,,,,,,,
,,Alfio Gliozzo,Q54832771,,,,,,,,,Center for Research Libraries,Q5059850,,,,,,,,,,,,,,,,,,,
,,Alison Goodrum,,,,,,,,,,Coalition for Networked Information,Q5137944,,,,,,,,,,,,,,,,,,,
,,Amar Das,Q92462042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Amgad Madkour,,,,,,,,Microsoft,Q2283,Alliance for Open Media,Q20947086,software company,Q1058914,technology industry,Q21157865,,,,,Redmond,Q223718,King County,Q108861,Washington,Q1223,United States of America,Q30,,,
,,Amit Sheth,Q47697386,,,Ohio State University,Q309331,,,,,Linux Foundation,Q858851,business,Q4830453,software industry,Q880371,,,,,,,,,,,,,,,
,,,,,,Ohio State University,Q309331,,,,,World Wide Web Consortium,Q37033,technology company,Q18388277,software development,Q638608,,,,,,,,,,,,,,,
