Unique ID,TalkID,Name,personQID,countryOfCitizenship,countryOfCitizenshipQID,educatedAt,educatedAtQID,personFieldOfWork,personFieldOfWorkQID,Company,companyQID,member of,memberOfQID,instance of,instanceOfQID,industry,industryQID,companyFieldOfWork,companyFieldOfWorkQID,HQ,HQQID1,HQ2,HQQID2,HQ3,HQQID3,HQ4,HQQID4,HQ5,HQQID5,Title,LinkedIn,Final Bios
1A,1,Brian Donohue,,,,,,,,Capital One,Q1034654,Linux Foundation,Q858851,business,Q4830453,financial services,Q837171,,,Tysons,Q1374864,Fairfax County,Q341915,Virginia,Q1370,United States of America,Q30,,,,,"As an Ontologist in Enterprise Data Management, Brian is responsible for leveraging semantic technology to mitigate data risk and promote a shared understanding of data across Capital One. Prior to joining Capital One, Brian spent 3 years at a Research and Defense company as a developer and curator of the Common Core Ontologies: a suite of open source, mid-level ontologies currently under consideration as a NIST Standard in Artificial Intelligence. Brian holds a Ph.D. from the University at Buffalo (SUNY), and is also an affiliate member of the National Center for Ontological Research. His research has focused on applications of formal ontology to cybersecurity, situational awareness, aircraft maintenance, geopolitics, natural language user interfaces, and legal and regulatory compliance."
,,,,,,,,,,,,World Wide Web Consortium,Q37033,enterprise,Q6881511,,,,,McLean,Q963138,Fairfax County,Q341915,Virginia,Q1370,United States of America,Q30,,,,,
,,,,,,,,,,,,,,credit institution,Q730038,,,,,,,,,,,,,,,,,
1B,1,Bethany Sehon,,,,,,,,Capital One,Q1034654,Linux Foundation,Q858851,business,Q4830453,financial services,Q837171,,,Tysons,Q1374864,Fairfax County,Q341915,Virginia,Q1370,United States of America,Q30,,,,https://www.linkedin.com/in/bethanysehon/,"Bethany leads a team of product managers, ontologists, data scientists, and data analysts, enhancing Capital One’s data management capabilities around metadata collection, quality and best practices.  Bethany is also responsible for establishing the Ontology practice, a capability that is being used to facilitate a common understanding of the data and analytics across the Capital One ecosystem."
,,,,,,,,,,,,World Wide Web Consortium,Q37033,enterprise,Q6881511,,,,,McLean,Q963138,Fairfax County,Q341915,Virginia,Q1370,United States of America,Q30,,,,,
,,,,,,,,,,,,,,credit institution,Q730038,,,,,,,,,,,,,,,,,
2,2,Bryon Jacob,,,,,,,,data.world,Q91143628,,,public-benefit corporation,Q78443472,software industry,Q880371,Semantic Web,Q54837,Austin,Q16559,Travis County,Q110426,Texas,Q1439,United States of America,Q30,,,,https://www.linkedin.com/in/bryon/,"Bryon is the CTO and co-founder of data.world - on a mission to build the world's most meaningful, collaborative, and abundant data resource.  Bryon is a recognized leader in building large-scale consumer internet systems and an expert in data integration solutions.Bryon's twenty years of academic and professional experience spans AI research at Case Western Reserve University, enterprise software at Trilogy, and consumer web experience at Amazon and most recently in ten years building HomeAway.com.  At HomeAway, Bryon oversaw platform development and the integration of thirty acquisitions while building the world's largest online marketplace for vacation rentals."
,,,,,,,,,,,,,,,,,,data management,Q1149776,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,knowledge graph,Q33002955,,,,,,,,,,,,,
3,3,Chen Yong Cher,,,,,,,,"Graphen, Inc.",Q91145348,,,business,Q4830453,software industry,Q880371,artificial intelligence,Q11660,New York City,Q60,New York,Q1384,United States of America,Q30,,,,,,https://www.linkedin.com/in/chenyongcher,"Dr. Chen Yong Cher is the CTO of Infrastructure at Graphen. He oversees Graphen's core AI platform, Ardi, and some of its cybersecurity and risk management solutions catering to financial firms. Prior to Graphen, he was a System Researcher at IBM for 12 years. He was a contributor to BlueGene/Q supercomputer and DARPA's PERCS and PERFECT projects, and coauthored over 25 patents and 40 technical papers."
,,,,,,,,,,,,,,,,,,knowledge graph,Q33002955,,,,,,,,,,,,,
